风筝tv-国内 VIP,#genre#
CNBC,https://video2.kitelive.tv/video/afrohd4k/58
CNN HD,https://video2.kitelive.tv/video/afrohd4k/53
Discovery HD,https://video2.kitelive.tv/video/afrohd4k/63
Discovery Science HD,https://video2.kitelive.tv/video/afrohd4k/65
DMAX HD,https://video2.kitelive.tv/video/afrohd4k/90
DW HD,https://video2.kitelive.tv/video/afrohd4k/112
Food Network HD,https://video2.kitelive.tv/video/afrohd4k/84
FOX HD,https://video2.kitelive.tv/video/afrohd4k/115
France 24 HD,https://video2.kitelive.tv/video/afrohd4k/113
HGTV HD,https://video2.kitelive.tv/video/afrohd4k/89
[US] 国家地理亚洲,https://video2.kitelive.tv/video/afrohd4k/139
NatGeo HD,https://video2.kitelive.tv/video/afrohd4k/62
NatGeo People,https://video2.kitelive.tv/video/afrohd4k/86
NatGeo Wild HD,https://video2.kitelive.tv/video/afrohd4k/61
Sky News HD,https://video2.kitelive.tv/video/afrohd4k/56
TLC HD,https://video2.kitelive.tv/video/afrohd4k/83
Travel Channel HD,https://video2.kitelive.tv/video/afrohd4k/152
BOO,https://video2.kitelive.tv/video/afrohd4k/2828
Love Nature HD,https://video2.kitelive.tv/video/afrohd4k/2841
Luxe TV HD,https://video2.kitelive.tv/video/afrohd4k/2842
Euronews,https://video2.kitelive.tv/video/afrohd4k/2848
HBO Hits,https://video2.kitelive.tv/video/afrohd4k/2849
HBO Family,https://video2.kitelive.tv/video/afrohd4k/2850
HBO Signature,https://video2.kitelive.tv/video/afrohd4k/2851
风筝tv-体育 VIP,#genre#
Eurosport HD,https://video2.kitelive.tv/video/afrohd4k/105
FOX Sports HD,https://video2.kitelive.tv/video/afrohd4k/100
FOX Sports 2 HD,https://video2.kitelive.tv/video/afrohd4k/101
FOX Sports 3 HD,https://video2.kitelive.tv/video/afrohd4k/102
Golf Channel HD,https://video2.kitelive.tv/video/afrohd4k/107
beIN Sports,https://video2.kitelive.tv/video/afrohd4k/103
beIN MAX,https://video2.kitelive.tv/video/afrohd4k/104
ASTRO ASSP HD,https://video2.kitelive.tv/video/afrohd4k/96
ASTRO ASSP2 HD,https://video2.kitelive.tv/video/afrohd4k/97
ASTRO ASSP3 HD,https://video2.kitelive.tv/video/afrohd4k/98
ASTRO ASSP4 HD,https://video2.kitelive.tv/video/afrohd4k/99
ASTRO Arena HD,https://video2.kitelive.tv/video/afrohd4k/95
ASTRO Cricket,https://video2.kitelive.tv/video/afrohd4k/109
Rugby Pass TV,https://video2.kitelive.tv/video/afrohd4k/108
RTM Sports,https://video2.kitelive.tv/video/afrohd4k/140
Unifi Sport 1,https://video2.kitelive.tv/video/afrohd4k/2834
Unifi Sport 2,https://video2.kitelive.tv/video/afrohd4k/2835
Unifi Sport 3,https://video2.kitelive.tv/video/afrohd4k/2836
Unifi Sport 4,https://video2.kitelive.tv/video/afrohd4k/2837
Unifi Sport 5,https://video2.kitelive.tv/video/afrohd4k/2838
五星体育HD,https://183.207.255.188/live/program/live/ssty/4000000/mnf.m3u8
[SG] HubSports1 HD,https://video2.kitelive.tv/video/afrohd4k/351
[SG] HubSports2 HD,https://video2.kitelive.tv/video/afrohd4k/352
[SG] HubSports3 HD,https://video2.kitelive.tv/video/afrohd4k/353
[SG] beINSportsHD2,https://video2.kitelive.tv/video/afrohd4k/354
[SG] beINSports HD,https://video2.kitelive.tv/video/afrohd4k/355
[SG] beINSportsMAX HD,https://video2.kitelive.tv/video/afrohd4k/356
[SG] beINSportsMAX2 HD,https://video2.kitelive.tv/video/afrohd4k/357
[SG] beINSportsMAX3 HD,https://video2.kitelive.tv/video/afrohd4k/358
[SG] NBATV HD,https://video2.kitelive.tv/video/afrohd4k/359
[SG] mio Stadium HD,https://video2.kitelive.tv/video/afrohd4k/3288
[SG] mio Stadium 103 HD,https://video2.kitelive.tv/video/afrohd4k/3289
[SG] mio Stadium 104 HD,https://video2.kitelive.tv/video/afrohd4k/3290
[SG] mio Stadium 105 HD,https://video2.kitelive.tv/video/afrohd4k/3291
[SG] mio Stadium 106 HD,https://video2.kitelive.tv/video/afrohd4k/3292
[SG] mio Stadium 107 HD,https://video2.kitelive.tv/video/afrohd4k/3293
[SG] mio Stadium 108 HD,https://video2.kitelive.tv/video/afrohd4k/3294
[SG] mio Sports,https://video2.kitelive.tv/video/afrohd4k/3295
[SG] mio Sports 2,https://video2.kitelive.tv/video/afrohd4k/3296
[SG] mio Sports 3,https://video2.kitelive.tv/video/afrohd4k/3297
[SG] Fight Sports HD,https://video2.kitelive.tv/video/afrohd4k/3298
[SG] eGG Network,https://video2.kitelive.tv/video/afrohd4k/3299
[SG] Trace Sport Stars HD,https://video2.kitelive.tv/video/afrohd4k/3307
beIN MAX,https://video2.kitelive.tv/video/afrohd4k/104
beIN Sports,https://video2.kitelive.tv/video/afrohd4k/103
eGG Network,https://video2.kitelive.tv/video/afrohd4k/94
Eurosport HD,https://video2.kitelive.tv/video/afrohd4k/105
FOX Sports 2 HD,https://video2.kitelive.tv/video/afrohd4k/101
FOX Sports HD,https://video2.kitelive.tv/video/afrohd4k/100
Golf Channel HD,https://video2.kitelive.tv/video/afrohd4k/107
Rugby Pass TV,https://video2.kitelive.tv/video/afrohd4k/108
WWE Network,https://video2.kitelive.tv/video/afrohd4k/106
风筝tv-印尼 VIP,#genre#
MNC Shop Smart,https://video2.kitelive.tv/video/afrohd4k/497
BBC Earth,https://video2.kitelive.tv/video/afrohd4k/498
BBC World News,https://video2.kitelive.tv/video/afrohd4k/499
RT English,https://video2.kitelive.tv/video/afrohd4k/500
TRT World,https://video2.kitelive.tv/video/afrohd4k/501
Clubbing TV,https://video2.kitelive.tv/video/afrohd4k/502
Jiangsu TV,https://video2.kitelive.tv/video/afrohd4k/503
Hunan TV,https://video2.kitelive.tv/video/afrohd4k/504
Shanghai Dragon TV,https://video2.kitelive.tv/video/afrohd4k/505
Xing Kong TV,https://video2.kitelive.tv/video/afrohd4k/506
Anhui TV,https://video2.kitelive.tv/video/afrohd4k/507
Net. TV,https://video2.kitelive.tv/video/afrohd4k/508
RCTI,https://video2.kitelive.tv/video/afrohd4k/509
SCTV,https://video2.kitelive.tv/video/afrohd4k/510
Trans TV,https://video2.kitelive.tv/video/afrohd4k/511
Trans 7,https://video2.kitelive.tv/video/afrohd4k/512
MNC TV,https://video2.kitelive.tv/video/afrohd4k/513
Indosiar,https://video2.kitelive.tv/video/afrohd4k/514
ANTV,https://video2.kitelive.tv/video/afrohd4k/515
TV One,https://video2.kitelive.tv/video/afrohd4k/516
